PO Item Description,HS Code
"BREATHER;AIRMAX, .375NPT EX PRF HG-1",84213990
"COUPLING:FLXBL;2-1/8 IN MOT,7/8 IN PMP",84749000
"BEARING;4-BOLT FLG,F4R-S2-207L",84828000
"COUPLING:GRID;1060T10,1.625-1.750 IN",84836000
"SHEAVE:V-BLT;QD,AND BSH SET",84835000
"HOUSING, BEARING PLUMMER BLOCK",84832090
SHIM SET;CSD231-500 8 SHIM PLTS / SET,87089980
"COUPLING:HSE;1-1/2 IN,150 PSI,IRN",73079990
"BELT:V;3V,3/8 IN,OAH 21/64 IN,56 IN",40103900
COOLER:AIR;440PA-S AIR TO OIL COLR,84313990
"ADAPTER:BRG;DIA 12-7/16 IN,LG 7.543 IN",84313990
"SEAL:LBYR;5-7/16 IN,SST,TSR DSGN",84749000
"BELT:V;5V,5/8 IN,OAH 35/64 IN,212 IN",40103900
"BELT:V;8VP,1 IN,OAH 7/8 IN,160 IN,6 STRD",40103900
"GUN:GRS;DL PRPSE,400 G CRTG,7500 PSI",82055900
UNIT:CNTRL;HX-270-2-84,85371099
UNIT:CNTRL,85371099
MONITOR,85285200
"FRAME:CNVYR;VEE RETRN  ,2 ROL COMPOSITE",84313990
"ROLLER:CNVYR;48 IN,VEE RETRN",84313990
"ROLLER:CNVYR;DIA 152 MM,LG 1281 MM",84313990
BOLT;COUNTERSUNK SCRW,73181590
"FIBER:CONCRT REINFMNT;SYNTH,BARCHIP",39169092
VALVE:CHK;MIN PRSR,84818099
"CHAIN:LFTNG;GR 100,9/32 IN,1.5 TO 2 TON",73158990
"SCREEN;TOCH, 6AV6 648-OCC11-3AX0",85389019
"MODULE;CPU, 6ES7 288-1ST40-0AA0",85389019
"MODULE;RTD, 6ES7 288-3AR04-0AA0",85389019
"BLOWER:AIR;GHS14-55,M AIR,21.42AM3/MIN",84145930
"SHIM;3 MM,2 SET",84749000
BAG:PP;SCTR,39239090
"FILTER;SCTR,POLY,W/ BOOT",84799090
"TORCH:CTNG/WLDG;CTG/GOUGING,PLASMA,75DEG",83119000
LOCKER;MTL BASD SEE THRU,94031000
"CORD:PTCH;CAT 6 LEAD,LG 1 M,GRN",39269091
"CORD:PTCH;CAT 6 LEAD,LG 2 M,RED",39269091
"CORD:PTCH;CAT 6 LEAD,LG 2.1 M,BLU",39269091
"CONVERTER:SIG;DATA,LC CNCTR,GE SFP",85044090
"ROUTER:NETW;CTLST IW9167E,WI-FI 6",85176269
RING;VLV,73182990
O-RING,84139190
NUT;VLV,73181690
BUSHING:GDE,84139190
"ELBOW;HSE,90 DEG,12 IN,FLGD,3D",40094290
"STUD;BOLT,DIAPH HSG UNT",73181590
"BLADDER:ACC;LINATEX,OD 1450MM X 2720MM L",84139190
"DEGREASER;WTR BASD,1000 L/CBE",34029013
CONTROLLER;ELCTRNC DC DISTRN,90328939
BREAKER:CKT;MICROLOGIC VIGI 4.2,85362013
"SWITCH:SLCTR;600 VAC/VDC,1.2 A AC",85365099
"GRIP:WIRE;CNCTR,3 IN",85369019
"BARE;PMP 3700I,80 GPM,DIA 13.13 IN",84139190
COMPRESSOR;AIREND STG 2,84148049
"GAS:CALBRTN;AMMONIA,50PPM,AL,116 L/CY",38221900
"GAS:CALBRTN;AMMONIA,50PPM,AL,650 L/CY",38221900
"GLAND:CBL;304 SSG SER,1/2 IN,SST",85367090
CONNECTOR:ELEC;0.725 TO 0.885 IN,85367090
RELAY:PRTCTV;VOLTG MONITORING,85364910
"SWITCH:NETW;CTLST IE3300,POE+,480W AC",85176243
"MACHINE, ELECTROFUSION MSA PLUS 400",85158090
SENSOR;EXH PRSR,90262050
"UNIT:CNTRL,",90328939
"PUMP;AXL PSTN,",84138113
PUMP:GEAR,84138113
SENSOR;COOLNT LVL,90268000
"SENSOR:PRSR;AIR,",90262050
"VALVE;CHRGG COMPLT,",84818099
VALVE;NON-RETURN,84818099
"PUMP:HYD;ACLTR SYS,HV",84136090
"PUMP:HYD;CARR,HV",84136090
"PUMP:HYD;CONCRT PMP,HV",84134000
MOTOR:HYD;BOOM TRNG,84122900
"GEAR;TRQ UNT,CBL REEL",84834090
"MOTOR:HYD;A/C,F/ NORMET SPRYR MF050 VC",84122900
MOTOR:HYD;AGTOR,84122900
MOTOR:HYD;ACLTR PMP,84122900
VALVE;BRAKE CHRGG,84818099
"VALVE;MGNTC,FR SUPRT LEG",84818099
VALVE;CBN TLT,84818099
"VALVE:CNTRL;MGNTC,A/C",84818099
"VALVE:CNTRL;MGNTC,CBL REEL",84818099
VALVE:CNTRL;BOOM,84818099
VALVE;BOOM NOZL ROTATN,84818099
FRAME;COMPRSR AIR DISCH VLV,84149090
"VALVE;INTK,COMPRSR AIR",84149090
"VALVE:SFTY;COMPRSR,PRSR RELF",84814090
"CASE;VLV,WL WSH PMP HYD",84139190
"VALVE;MGNTC,WNDW WASHING",84818099
GEAR;BOOM TRNG PLNTY,84834090
RADIO;CNTRL SYS,85269200
"POWER UNIT:HYD;PK,ELEC MOT 55 KW",84122100
"RING:SLIP;CBL REEL,UNT (HV)",85366999
COMPRESSOR;AIR CONDITIONING,84143090
CONDENSER;AIR CONDITIONING,84189910
EVAPORATOR;AIR CONDITIONING,84189990
"FILTER;EXH,INSTLTN KT DPF",84213990
"VALVE;NON RETRN,F/ SPRAYMEC MF 050 VC",84818099
VALVE:SHTL;BRAKE VLV FITTINGS,84818099
CARTRIDGE:VLV;SFTY BRAKE VLV,84818099
"HOSE;I/L,PIPNG,ENG END",40094290
"PUMP;AXL PSTN,CARR HYD PMP FITTINGS",84138119
"SWITCH;MAIN,FU BX ASSY",85365020
"BELT:SFTY;DRVR SEAT,SPRAYMEC MF 050 VC",87082100
"LIGHT:WORK;CBN FR,SPRAYMEC MF 050 VC",85122099
"LEVER;CNTRL,GEAR SLCTR ASSY",87089999
"SWITCH;PRTCTN,ELEC BX TB+TB",85365020
"RELAY:TME;DLY,ELEC BX TB+TB",85364990
"SENSOR;INDUCT,SPRAYMEC MF 050 VC",90318090
"BOX:ELEC;REMT CNTRL,RADIO CNTRL SYS",85269200
"SWITCH;LVL,HYD OIL TNK",85365020
LIGHT:WORK;ELEC COMPNT,85122099
MOTOR;1250HP,85015300
MOTOR;800HP;CURRENT AG#1/AG#2,85015300
"ANALYZER;BAKER,STATC ELEC MOT",90318090
CONTROLLER:COMM;5 MA AT 1.2 VDC,85389019
"BREAKER:CKT;LSIG,3P,250A, 25KA, LSIG",85362013
ELEMENT:FLTR;STG 6,84149090
"ELEMENT;SCRW, HIGHT PRSR",84149041
KIT;FSS ANSUL 210 UPGRADE,85318090
VALVE;OV PRSR,84818099
BOLT:BANJ;CONCRT PMP,73181590
"PIN:LK;CYL,CONCRT PMP",73182990
"FLANGE;SEALNG,CONCRT PMP",84139190
BLOCK;,87089999
PUMP:HYD,84138113
PUMP;GRS,84138113
FLANGE;INSTLTN,87089999
WHEEL;INSTLTN,87089999
LIGHT;RR,85122099
SEAL;KT,87089999
VALVE;KT,84818099
VALVE;MGNTC COMPLT,84818099
GAUGE:PRSR,90262050
"BLOCK;REVRSNG,NORMET SPRYR MF050",87089999
FILTER:FUEL;CRTG,84212329
"ACCUMULATOR, PRESSURE, BRAKE CHARGE",87083010
BLOCK;BRAKE,87083090
ASSEMBLY;JNT,84749000
REGULATOR;SPRAYMEC MF 050 VC,84749000
"CAMERA;RVRS,SIDE CAM INSTLTN,CBN",85258910
COIL:ELEC;24 V,84749000
VALVE;LD SNSG SIG,84814090
"FUSE;HLDR,600 A",85361099
WASHER;HGH PRESS,84248950
TUBE;MASS,40094290
FILTER:AIR;CBN (HEPA),84213190
"FILTER:AIR;SECNDRY,INNER",84213190
FILTER:FUEL,84212399
RING:SEAL;CONCRT PMP,84849000
"RING;CTG,CONCRT PMP",73182990
"LINING;WEAR,CONCRT PMP",84139190
PISTON;CONCRT PMP,84139190
BODY;NOZL,87089980
"RING;SEAL,CONCRT PMP",73182200
RING:SEAL;CONCRT PMP,73182200
"KIT;SPARE PRT HSE ,ACLTR PMP",87089999
VALVE;MGNTC,84818099
PUMP;,84138119
COUPLING,87089999
PIPE;REDCTN,87089980
HOSE;CONCRT,40094290
COUPLING,87089980
VIBRATOR,87089980
SLEEVE:SFT,87089980
PUMP;PRSR WTR,84138119
PLUG:DRN;CLNG,87089999
COUPLING;ANGL,87089980
"BODY;W/ Y-COUPLING,SPRAYING NOZL",87089980
UNIT:CNTRL,90328939
BODY;NOZL,87089999
VALVE;CHRGG,84818099
GASKET,84841000
SLEEVE:PRTCTV;CONCRT PMP,84139190
PIN:LK;CYL,73182990
"RING;SPCR,CONCRT PMP",84139190
RADIATOR;ASSY,87089118
TERMINAL:BTRY,85369039
"SPRING;ASSY,RR SUSPON",73202011
"TELEPHONE;RUGD OUTDOOR,SRFC/POLE,GRA",85171800
"LINER:CHT;WEAR,MTLC CNVYR CHT",84313990
"LINER:CHT;WEAR,18-2-1 ALY,MTLC FEED CHUT",84749000
"LINER:SHL;24 IN,FEED END, DBL CHORD",84749000
"LINER:SHL;24 IN,DISCH, DBL CHORD",84749000
"LINER:SHL;DBL CHORD,24IN,DISCH END MID",84749000
"LINER:SHL;DBL CHORD,24IN,FEED END MID",84749000
"BOX:COUNTERSHAFT;ASSY,W/ PINION",84749000
"BLOCK:TRMNL;KNF DSCNCT,1 POS,500 V,20 A",85369039
"BREAKER:CKT;MLDD CSE,400 A,K,3P",85389019
"SCREWDRIVER;SLTD,4 WDX0.8 THK MM",82054000
"LAMP:LED;INDCTR,MINTR,120 VAC,CLR,30 MM",85414100
"MODULE:I/O;I/P,24 VDC,32 POINT,NYL",85381019
"MODULE:I/O;AC/DC,DGTL RLY,5 TO 265 VAC",85381029
"POWER SUPPLY;120-230VAC,12VDC,30W,2.5A",85044090
"ANCHOR BOLTS, 1"" X 450MM, YIELD STRENGTH",73181510
MOTOR;450HP,85015390
ADMIXTURE:CONCRT CHEM;SIKA INTRAPLAST100,38244000
"OIL:ENG;DSL,1000 L,CBE,MEDITRAN SX,MOQ",27101946
"FUEL;BIOSOLAR,B40,BLEND",38260090
"GEARBOX:SP REDCR;234.3:1,1750 RPM",84834090
"SOCKET:WRNCH;IMPCT,12 PNT,1/2 IN SQ",82079000
"BALL:GRINDG;65 MM DIA,HCS,700-750 BHN",73261100
"BALL:GRINDG;25 MM DIA,STL,700 BHN",73261100
Condensate Neutralizing Amine Injection,84798969
HRSG #1 / #2 Phosphate Injection Skid,84798969
CT Acid Injection Skid,38249999
CT Sodium Hypochlorite Injection Skid,38249999
CT Corrosion/Scale Inhibitor and Dispers,38249999
Freight Charges - DDP Ritra,39269099
"Pressure, Regulator",90328939
"Flow, Element, Orifice Plate",90268000
"Flow, Orifice, Restriction",90268000
Orifice Plate,90268000
Master Data and Document Register,90268000
Dimensional Outline Drawing,90268000
General Catalog Information,90268000
Flow Meter Calculation,90268000
Installation Operation and Maintenance M,90268000
Inspection Test Plan,90268000
Positive Material Identification - PMI -,90268000
Certificate of Compliance - Conformity,90268000
Material Test Report - MTR,90268000
Manufacturing Data Book,90268000
Compact orifice (5220-FE-0001) & Ultra f,90268000
Restriction Orifice (5334-FO-0050),90268000
Restriction Orifice (5336-FO-0093),90268000
Restriction Orifice (5336-FO-0099),90268000
"Flow, Transmitter, Coriolis (HART) (7312",90268000
Master Data and Document Register for Co,90268000
Dimensional Outline Drawing for Coriolis,90268000
General Catalog Information for Coriolis,90268000
Flow Sizing Calculation for Coriolis (It,90268000
Wiring Diagram for Coriolis (Item #32 an,90268000
Recommended Spare Parts List for Corioli,90268000
Inspection Test Plan for Coriolis (Item,90268000
Certificate of Compliance - Conformity f,90268000
Preservation and Handling Procedure for,90268000
Packing Shipping List for Coriolis (Item,90268000
Surface Preparation - Painting - Coating,90268000
Manufacturing Data Book for Coriolis (It,90268000
Uncoated - U600 Sheetpile - 12M each,73011000
SERVER;WATERFALL WF-600-KIT-COPPER-10G,85176249
SERVER;WATERFALL WF-NSSP,85176249
SERVER;WATERFALL WF-SHP-2,85176249
"RING:SLIP AND S REEL,",73182990
SENSOR;LG ASSY.SMALL,90268000
"SWITCH:PRSR;ASSY,",85365020
DISC:BRAKE;,84313990
RADIO;24V,85272110
"MOTOR:AC;10 HP/7.5 KW,1152 RPM,160M",85015229
"MOTOR:AC;AEHBK020002FUK,2 HP/1.5 KW",85015229
ADAPTER:COMM;BLUETOOTH,85176299
"BAG:VNT;RND TYP,HGH GR",39269059
Hand On/Off Valve,84818099
Motor Operated Valve,84818099
On/Off Valve,84818099
On-Off Valve,84818099
Cancellation charges for line item 46; t,84818099
Freight - to DSV Houston,84818099
Temperature Gauge,90251919
Pressure Gauge,90262090
Differential Pressure Gauge,90262090
Drawings for Approval Prior to Fabricati,90262090
Final Visual Inspection: Pricing per day,90262090
Shipping/Crating Inspection: Pricing per,90262090
DP Gauge,90262090
DP Gauge and DP SW High,90262090
Drawings & Documentation as per SDDC,90262090
Final Visual Inspection,90262090
Shipping/Crating Inspection,90262090
"Crating & Freight Cost, DAP, PTFI-DSV",90262090
Pressure Switch with Diaphragm Seal,90262090
"Crating & Freight Cost: DAP, PTFI C/O DS",90262090
Price Increase for DP Gauge (BOM ln 67),90262090
Project Deferment Cost,90262090
Tariff Surcharge,90262090
Hydraulic Cylinders Conveyor 710,84313990
Hydraulic Cylinders Conveyor 711,84313990
Hydraulic Cylinders Telescopic Cylinders,84313990
Retract Hose for Conveyor 710 and 711,40092290
Extend Hose Conveyor 710 and 711,40092290
Non-material line item - Shiploader,84289090
G0349-01-TGER-CMGT-SCR-001 / SCR Conveyo,84313990
G0349-01-TGER-CMGT-SCR-002 / SCR 002 - F,39259000
G0349-01-TGER-CMGT-COR-003 / SCR 003 Lif,84828000
G0349-01 TGER-CMGT-COR-004 - Rockwell Se,85365020
G0349-01-TGER-CMGT-COR-005 Rev.1 - Chang,84313990
G0349-01-TGER-CMGT-COR-006 Rev.1 - Singe,84313990
G0349-01-TGER-CMGT-COR-007 Rev.0 - Inves,84313990
G0349-01-TGER-CMGT-COR-009 Rev.1 - Impac,84313990
G0349-01-TGER-CMGT-COR-010 Rev.1 - Belt,84313990
G0349-01-TGER-CMGT-COR-011 Rev.0 - Addit,84313990
G0349-01-TGER-CMGT-COR-012 Rev.1 - Chang,84313990
Self-Propelled Mainenance Cart,86040000
Suggested Spares LOT,86040000
"All Export Packaging, Marking and Export",86040000
25% Down Payment at time of order,86040000
25% Payment after design/engineering,86040000
50% After delivery,86040000
"RIM;WHL,8.5X24,16 MM,10 HLE",87089980
"CHEMICAL;T-25 CPNTR,PRT B,1066KG/CUBE",38249999
"CHEMICAL;T-25 CPNTR,PRT A,1075 KG/CUBE",38249999
JAW;PITO,84314300
DIPSTICK;REMT ASSY,73269099
"CHAIN;ASM 11 LNK,",73158990
"CHAIN;ASSY,7 PITCH,",73158990
"CHAIN;ASSY,9 PITCH,",73158990
"PIPE:DRL;3-1/2 IN,NO GO GA",73042290
"PIPE:DRL;5 IN,NO GO GA",73042290
"TOOL;GLND NUT,",82041200
HARNESS:WIRNG;ENG,85443012
TONG;BREAKOUT WRNCH,82042000
"HOOK;SET,",73269099
"RETAINER;WRNCH,F/ SVR SUB",73269099
"WRENCH;BREAKOUT,",82041200
TOOL;28 SPLN BROACHING,82079000
"EXTENSION;STNGR,17 IN",73269099
"EXTENSION;STNGR,ASSY,24 IN",73269099
"EXTENSION;STNGR,ASSY,30 IN",73269099
"EXTENSION;STNGR,ASSY,48 IN",73269099
"ADAPTER;SUCT,2.5 IN,ELB",73079990
TRANSFORMER;3KVVA 1000V-120V/24,85043219
"EXTENSION;STNGR,ASSY,18 IN",73269099
"ASSEMBLY;TOP DRV,60,000 LBS, SIDE M",84314300
FEEDER;CBL 2 SNSR RLR 422,84314300
"BOLT;BDT45-900 MD BOLT DRVR,900MM,T45",73181590
"BUSHING TRAFO, 250A",85462010
"CABLE:PWR;UG SUPRM,70MM2,1 CRE,1000M/RO",85444949
"CABLE:PWR;UG SUPRM,95MM2,1 CRE,1000M/RO",85444949
"CABLE:PWR;UG SUPRM,120MM2,1 CRE,1000M/RO",85444949
"REFRIGERANT;11 KG,MSDS CDE UN-1078",29037100
VALVE:SPOL;DD422I,84314300
MIXER;ELEM,84314300
FLANGE:REDCG;MTLC,84314300
FILTER;AIR FLTR ENG ASSY,84213110
"VALVE;PRSR RELF,DS422I SANDVIK DRL",84814090
SWITCH:PUSBTTN;ILLMNTD,85369099
"CONNECTOR:ELEC;MALE,MULT-POLE",84314300
"CABLE:ELEC;0.5 MM2,27 C,550/750 V",85444949
"CABLE:ELEC;1 MM2,42 C,550/750 V",85444949
VALVE:SHTL,84314990
PLC;CNTRLR,85371099
RETAINER;PITO 9H RETNG CENTRALIZE,84314300
"CONTACT:ELEC;MALE,1.5 MM2",85369019
"HOSE:HYD;LG 30 M/ROL,BLU",40092190
"PUMP;WTR, ASSY, W/ MOT",84138119
ROLLER;DRV WHL,84314300
"BASE;UNT,RB600775",84749000
FILTER:WTR;25L/MIN 850µ,84212990
"SENSOR;PRCN,F/ RB BB544HD",90318090
"CABLE:CNCTG;PREWIRED,ENET,LH307 LDR",85443013
"SEAL RING, NONMETALLIC OUTER COVER,",84314990
"VALVE:RELF;PRESSRDCNG,100 TO 2000 PSI",87089980
CLIP;SCKT MANY POLES,84314300
SOCKET;INSRT,84314300
"CASE;CLP,MANY POLES",84314300
"CONNECTOR:ELEC;MULT-POLE,250 V,10 A,FEM",85367090
"CIRCUIT BREAKER, CABOLTER 7-5 DRILL",85362099
"PROTECTOR:HSE;30 M/ROL,CBL",85443013
"SWITCH, PROXIMITY",85365020
HOSE:ASSY;HYD,40092290
CONNECTOR:ELEC,85367090
"KIT;MOT,HIAB TURT BAS",85030090
"HOSE:HYD;VLV STND HSG, BRKR BOOM SYS",40092290
HOSE:HYD;F/ CNTRL VLV M440HD NO.33,40092290
HOSE:HYD,40092290
"TANK;UREA,DD422I DL CNTRL DRL",84314300
CYLINDER:HYD;DBL ACTNG,84314300
CONDENSER;ASSY,84159014
CYLINDER:HYD,84314300
BUTTON;EMRGNCY STOP,85365020
CYLINDER:HYD;BOLTING SB60,84314300
"RETAINER;ROD,FEED ASSY",84314300
BRACKET,84314300
"GAUGE, PRESSURE, DUAL SCALE, 2"" DIA",84314990
VALVE:CNTRL;FLW,87089980
"PUMP;MOD 07-324PCM,CONCRT",84134000
"WIPER, ROD FOR TAMROCK SOLO 7-15C",85124000
"HORN;SIG,24 VAC/VDC,F/ PRTCTN ENG SPD",85123010
LOCK,83012000
GLAND:CBL;SET,85367090
CONTACT:ELEC;FEM,84314300
CONTACT:ELEC;MALE,85369019
FILTER:AIR;ASSY,84213110
BOX:JNCTN,85369029
FAN UNIT,84314300
"PEDAL;BREAKE,LH307 LDR",84314990
"DEVICE:FLEXING;FLUSHING,ASSY",84314300
FRAME;CNCTR,84314300
"LUBRICATOR;LH,F/ DL422i RL",90328939
"KIT;R/H RL LUBCTR,DRL,SANDVIK,DL4221,15",84314300
FEEDER;CBL GDE RR BTM 422,84314300
FEEDER;CBL GDE RR TOP 422,84314300
"INSULATION;PAD,F/ CABOLTER DS421 DRL",84314300
ROPE,84314300
VALVE;BRAKE,84814090
BUSHING;20.4 IDX40 ODX177 LG MM,84314300
"BUSHING;SHK,L58,AXERA 6 AND DRIFTER",84314300
PUMP;UNT,84138119
TERMINATOR,85369019
PUMP:HYD;INTRL GEAR,84138119
"DISPLAY;TFT 4.3"" DSPLY W/ M12-CABLE",85285910
"NUT;M30,2,H=2",73181690
"PAD;INSLTN, SEE ""T""",84314300
"INSULATION;PAD,F/ CABOLTER DS421 DRL",85469000
"RELAY;ERTH,FAULT",85364990
PANEL;CNTRL,85371099
"WINDOW;DR,R,TOP",84314300
"COVER;ASSY,DD422I DL CNTRL DRL",84314300
NOZZLE,84314990
"CONNECTOR;FEM,OR MONOMATIC M REACH DRL",85367090
"JOINT:SLIP;BRKT,CABOLTER DS422i DRL",84314300
FILTER:AIR;DD422i,84213110
GAUGE:PRSR;DL SC,90262090
WASHER:LK,73181590
"COVER;ASSY,FR,FLUSHING DVC",84314300
WHEEL;RPE,84314300
BLOCK;SUPRTG,84314300
"CLAMP:HSE;WRM DRV,WTR HSE,UPR",84314300
"CABLE:CNTRL;ASSY,PROXY 1520ZR/F",85443091
MODULE;CNCTG,84314300
INDICATOR:FLW;SLU,90261050
"VALVE, OVER CENTER, CONTERBALANCE",84818099
PROGRAMMED ELECTRONIC ASSEMBLY,84314300
COMPUTER;SEE T-TXT,84718090
O-RING;F/ SOLO DL432i LONGHOLE DRL,84849000
"SEAL;KT,F/ CABOLTER DS420 DRL",84849000
ELEMENT:FLTR;F/ LH307 LDR,84213110
"ELEMENT:FLTR;SFTY,F/ LH307 LDR",84213110
"STRIP;GDE,FEED BM ASSY",84314300
FILTER:FUEL;LH307,84212319
PLUG:VLV,84314300
"RELAY;24 VDC,20 A,ASSY,REMT CNTRL LDR",90329090
"VALVE;OV CNTRE,HYD CYL,125/50",84818099
"KIT;SEAL,DRL MACH,UG,TFX 6/12 FEED CYL",84314300
BELT:V,84314300
SEPARATOR;OIL,84212950
STRAINER,84314300
"SEAL;KT,F;/DS422I DRL CABOLTER",84849000
VALVE;OV CNTR,84818099
VALVE:RELF;SFTY,84814090
CAP:RADTR,87089980
WHEEL;WLDMNT,87089999
"SENSOR;WIRE-ACTUD LNR XDCR,L=3500",90318090
BEARING,84828000
TRANSDUCER:PRSR;0 TO 7250 PSI,90268000
"TRANSDUCER KIT,250BAR,W/SNUBBER,M121",87089999
THROTTLE;W/ BRAKE PDL,87083090
VALVE:CNTRL;BAL,84818099
GASKET:FLG;PLTE,84841000
"TOOL:CHSL;RIPPING,SPCL TL",84314300
"KIT;SEAL,JBO DRL,TAMROCK,AXERA-7",84314300
"SWITCH:PRSR;20 PSI,10 A,1NO-1NC",87089980
WASHER:LK;M27,73182100
DIAPHRAGM;F/ SRVC PRTS,84314300
"KIT;SEAL,CABOLTER DRL,TAMROCK,CABOLT 7-5",84879000
CLAMP;ASSY,73182990
"KIT;SEAL,MONOMATIC M REACH DRL,SBU231",84849000
"LEVER;BX,KT,LDG HATCH,6YD",87089999
CABLE:ELEC;RB801600,85443099
"SHAFT,F/ SOLO DL432I LONGHOLE DRILL",84314300
"PLATE;INNER, BOOM ASSY",84314300
"VALVE;DIRNL,F/LH307 LDR",84818099
WASHER:LK;M10,73182100
"HOUSING;FLUSING,HD",84314300
BREATHER;AIR CSE GP,84314990
PLATE,84314300
PLC;CNTRLR,84314300
"CABLE, INSTALLATION 4 X 6-MM2, 750V,",85444949
"CLIP;CRCLP, F/ SOLO DL432I LONGHOLE DRL",73182990
GASKET;SUIT SOLO 7-15C LONGHOLE DRL,84841000
RING:LK,73182100
ENGINE:DSL,84089091
"VALVE;CRTG,SHTL,BRAKE SYS",87089980
CLEVIS;SWNG PC BOOM HD TB-40 TB-60,84314300
VALVE;HYD,84818099
PUMP:GEAR;F/SOLO DL432i,84138119
JAW;PITO 8.TUBE D87. D76 ROD T51,84314300
"BEAM:STRCTRL;FEED,LG 2550 MM",84314300
FAN;F/ SOLO DL432I LONGHOLE DRL,84145999
SPRING:GAS;CVR ASSY,73202019
"KIT;PM 500 & 1000 HOURS,GETMAN A64",87089999
"FLANGE;CYL,DS422I SANDVIK DRL CABOLTER D",84314300
"BREAKER:CKT;MINTR,4 A,240/415 V,6/10 KA",85362099
FLANGE;CNCTG PC TB60 BOOM HD,84314300
"MOUNT;WLD,WC MK2",87089999
SWITCH:TEMP;CANNON MOT,85365020
SENSOR:LVL;WTR TNK,90268000
BOLT:U,73181510
PUMP;25 CC,84138119
"VALVE:SOLND;NAMUR MNT,QC SER",84818099
LATCH;F/ CABOLTER DS421 DRL,83023090
SPRING:GAS,73121099
VALVE:PRSR RELF;DD422I DL CNTRL DRL,84818099
"SHAFT:GEAR,F/ DD422I DL CNTRL DRL",84314300
MUD:GUARD;DD422I SANDVIK,84314300
"SCRAPER;CYL,DS422I SANDVIK DRL CABOLTER",84314300
CYLINDER:HYD;CBL FEDR,84314300
ROPE:WIRE,73121099
"VALVE:RELF;PRSR/TEMP,1-1/2 IN,150 PSIG",84149041
"TOOL:CTG;TWST DRL,STND,SPCL TL",84314300
PLUG,84314990
VALVE:SOLND,84818099
"SHAFT:DRV;FR,CARR FRME",84831010
BLOCK:CONT,85369019
PIN;EXPNDG,73182990
